,Year,Month,Day,Hour,Minute,Second,Lat,Long,V_rel,He,O,N2,O2,Ar,Density,H,N,Anomalous Oxygen,Exospheric Temp,Temp
0,2008.0,6.0,2.0,0.0,0.0,0.0,12.76999999999993,-91.37,7835.671517081149,4491535344611.138,1835357274009078.0,1209447590754624.5,68131423893572.79,633909426790.3037,1.0896162279168553e-10,601354980410.3295,13225245637190.215,0.11211216826474721,684.2839413128958,673.4372736345749
1,2008.0,6.0,2.0,0.0,0.0,13.0,13.667057078106884,-91.50334969825218,7835.5690849209095,4416727182752.281,1834923417438391.5,1222827560849963.5,68891316028450.18,646880867998.123,1.096138184164532e-10,596575682145.8474,13272394139028.416,0.11498158632199439,684.2439277742042,673.7616631227176
2,2008.0,6.0,2.0,0.0,0.0,26.0,14.564089693315116,-91.6372943732672,7835.460254671622,4343617315869.1694,1833812130638261.8,1235825912396902.5,69657669126751.83,659792474923.1719,1.1023034536680269e-10,591659979657.6235,13307116607179.44,0.11794273985924583,684.18296908516,674.0567609650336
3,2008.0,6.0,2.0,0.0,0.0,39.0,15.461095964253607,-91.77187976484134,7835.345133531397,4271936402002.3438,1831985179037630.2,1248422300327448.8,70430878453630.05,672626951240.7941,1.1080926422879114e-10,586597558800.0204,13329571930109.635,0.120998123249736,684.1077313572849,674.327537003164
4,2008.0,6.0,2.0,0.0,0.0,53.0,16.358073952685043,-91.90715299172075,7835.223834899749,4201446216343.836,1829412607732800.0,1260599941325001.2,71211456873226.48,685380060618.9933,1.1134902204474495e-10,581382497280.2087,13339646627487.182,0.12415026341115565,684.0246462492283,674.5789793848122
5,2008.0,6.0,2.0,0.0,1.0,6.0,17.255021658577167,-92.04316267097443,7835.096478266701,4131917751268.0757,1826069686103376.8,1272347447742645.0,72000150999819.17,698053484747.9069,1.1184847053008025e-10,576010755025.9337,13337324091093.574,0.12740171586586652,683.9405266118688,674.8166202674689
6,2008.0,6.0,2.0,0.0,1.0,19.0,18.1519370148792,-92.17995904451311,7834.963189095911,4063128120253.5293,1821936847846925.5,1283659250191322.8,72797962053262.22,710652289784.2572,1.1230688853243394e-10,570478239868.1913,13322834931982.605,0.1307550602789621,683.8626312263897,675.0465858441684
7,2008.0,6.0,2.0,0.0,1.0,33.0,19.048817881970933,-92.31759411348202,7834.82409870195,3994868837772.6577,1817000277278988.5,1294535230608553.0,73606114496116.1,723189271331.7916,1.1272397395482404e-10,564783696732.1095,13296429945742.543,0.13421289543870019,683.7984630628131,675.2754095350367
8,2008.0,6.0,2.0,0.0,1.0,46.0,19.94566204175356,-92.45612178132586,7834.6793441218,3926942802966.0327,1811251478647415.0,1304981018659040.5,74426073573148.89,735682887277.655,1.1309984927561001e-10,558927598987.1941,13258483800152.932,0.1377778336432633,683.7558426869807,675.5100832277752
9,2008.0,6.0,2.0,0.0,1.0,59.0,20.842467191344227,-92.59559800639727,7834.529067980758,3859164995263.405,1804687864046294.5,1315007827585635.0,75259533590022.11,748155440465.6538,1.1343507146656566e-10,552909776653.6947,13209610153573.496,0.14145249445741745,683.7428373391235,675.7579797550137
10,2008.0,6.0,2.0,0.0,2.0,12.0,21.739230936335378,-92.73608096506632,7834.37341835281,3791367004283.0156,1797312057530037.2,1324632216651607.5,76108403664557.69,760636876905.7592,1.1373059625707768e-10,546733515047.14056,13150414512991.312,0.14523949780252196,683.7676924832676,676.0267750197039
11,2008.0,6.0,2.0,0.0,2.0,26.0,22.635950783575364,-92.877631226385,7834.2125486156665,3723395964258.72,1789132117847458.5,1333875895172803.0,76974798869433.4,773162063416.2997,1.1398777770223072e-10,540402857592.8684,13081641552018.037,0.14914145634354348,683.8388034027136,676.324403944061
12,2008.0,6.0,2.0,0.0,2.0,39.0,23.532624133421095,-93.02031193946635,7834.046617300543,3655115993883.6045,1780160849548154.5,1342765474372483.2,77861030030378.33,785771612684.484,1.1420833574810025e-10,533924258642.748,13004083498431.988,0.153160967137206,683.9646902722267,676.6590186149851
13,2008.0,6.0,2.0,0.0,2.0,52.0,24.429248271410774,-93.16418903485925,7833.875787936882,3586410690106.3115,1770417164024561.2,1351331681089688.2,78769557118118.92,798510105421.371,1.1439435667540504e-10,527302424910.93463,12918727527618.773,0.15730060250628738,684.1538129193497,677.0388018179337
14,2008.0,6.0,2.0,0.0,3.0,6.0,25.325820359296106,-93.30933144133667,7833.700228892118,3517182254743.806,1759923458568307.8,1359609448522137.2,79703006400648.48,811428228368.6079,1.145482228314232e-10,520546272634.6886,12826500567547.018,0.16156290010642121,684.4147007121486,677.4720622944184
15,2008.0,6.0,2.0,0.0,3.0,19.0,26.222337425370476,-93.45581131966782,7833.520113206668,3447352389842.1816,1748706101699246.5,1367637248086299.8,80664134944183.38,824580741363.4271,1.146725949629712e-10,513666209839.114,12728377605403.393,0.16595035215347378,684.7558388201234,677.9671122191887
16,2008.0,6.0,2.0,0.0,3.0,32.0,27.118796354018535,-93.60370431511791,7833.335618424303,3376866141184.6396,1736797143484964.0,1375455949279186.5,81655760906071.62,838026363533.302,1.1477040329104871e-10,506669893474.74194,12625482122274.922,0.17046539378185882,685.1854175121314,678.5320202016917
17,2008.0,6.0,2.0,0.0,3.0,45.0,28.01519387440812,-93.75308983061495,7833.146926418043,3305687288178.3604,1724230306502122.5,1383109229021818.2,82680805739427.72,851827856720.2784,1.1484475654173105e-10,499569669838.688,12518838910950.838,0.17511039050700936,685.7115980670953,679.1748308309841
18,2008.0,6.0,2.0,0.0,3.0,59.0,28.911526548233113,-93.90405132274503,7832.954223211771,3233801626375.7544,1711042855232473.8,1390642350936552.5,83742218207785.31,866051158168.0461,1.1489893410146915e-10,492377518987.78436,12409517099102.006,0.17988762476865078,686.3422494496327,679.9033078010835
19,2008.0,6.0,2.0,0.0,4.0,12.0,29.80779075640719,-94.05667662298754,7832.757698797714,3161214791891.5664,1697273710109923.8,1398101953226161.8,84842970449363.36,880764401167.3899,1.1493632378175751e-10,485107771583.2233,12298544047301.445,0.1847992815355953,687.0850177012666,680.7249782286324
20,2008.0,6.0,2.0,0.0,4.0,25.0,30.703982684596298,-94.21105828688775,7832.557546949981,3087957003134.31,1682966373883453.8,1405534526632224.2,85985955295112.14,896040006202.0242,1.1496042649077513e-10,477770579864.7701,12187033873204.238,0.18984743295765086,687.9469769754664,681.6467985647806
21,2008.0,6.0,2.0,0.0,4.0,39.0,31.600098307462577,-94.36729397418691,7832.353965034329,3014074764530.7554,1668163447021523.0,1412987209870308.8,87174053436445.75,911950747430.8972,1.1497474565664112e-10,470381286260.91,12075966068521.705,0.1950340220556859,688.9350169532139,682.6754900035826
22,2008.0,6.0,2.0,0.0,4.0,52.0,32.496133371479694,-94.5254868633005,7832.147153814349,2939633588415.472,1652908500862093.8,1420506555055415.2,88410048045522.12,928570033476.6575,1.1498277747459359e-10,462955871831.0145,11966288147392.277,0.20036084544727983,690.0555768858212,683.8172824972401
