,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1950-01-01,8.042,6,7,9,4,4,9,7,15,6,7,9,8.142857142857142,8.142857142857142
1,1950-01-02,7.042,3,3,3,2,5,9,18,15,6,7,9,8.142857142857142,8.142857142857142
2,1950-01-03,6.031,12,3,3,9,6,4,5,6,3,3,3,9.857142857142858,8.142857142857142
3,1950-01-04,10.052,12,15,12,7,7,12,4,7,12,3,3,4.285714285714286,9.857142857142858
4,1950-01-05,6.031,5,5,7,7,9,7,6,6,12,15,12,6.857142857142857,4.285714285714286
5,1950-01-06,11.063,9,12,15,12,7,5,22,7,5,5,7,9.571428571428571,6.857142857142857
6,1950-01-07,10.063,3,12,7,15,12,7,12,15,9,12,15,8.285714285714286,9.571428571428571
7,1950-01-08,3.01,4,3,2,2,2,2,4,5,3,12,7,11.714285714285714,8.285714285714286
8,1950-01-09,11.063,7,6,2,7,6,15,27,18,4,3,2,5.0,11.714285714285714
9,1950-01-10,10.052,18,6,5,4,6,7,12,18,7,6,2,10.714285714285714,5.0
10,1950-01-11,9.052,22,6,7,5,6,5,7,12,18,6,5,8.285714285714286,10.714285714285714
11,1950-01-12,6.031,6,12,7,4,4,3,7,9,22,6,7,8.428571428571429,8.285714285714286
12,1950-01-13,9.052,6,12,12,9,6,6,7,15,6,12,7,8.285714285714286,8.428571428571429
13,1950-01-14,20.105,15,32,15,18,22,18,32,12,6,12,12,8.428571428571429,8.285714285714286
14,1950-01-15,11.063,7,12,12,22,27,6,2,2,15,32,15,16.285714285714285,8.428571428571429
15,1950-01-16,11.063,15,7,6,5,9,22,18,4,7,12,12,14.142857142857142,16.285714285714285
16,1950-01-17,5.021,7,9,5,5,6,2,2,6,15,7,6,12.0,14.142857142857142
17,1950-01-18,6.031,9,3,0,4,4,5,18,6,7,9,5,6.285714285714286,12.0
18,1950-01-19,12.073,18,15,7,12,18,15,6,4,9,3,0,7.714285714285714,6.285714285714286
19,1950-01-20,22.115,5,9,27,27,22,32,27,27,18,15,7,7.857142857142857,7.714285714285714
20,1950-01-21,19.105,9,18,22,18,32,15,18,18,5,9,27,21.142857142857142,7.857142857142857
21,1950-01-22,10.063,4,4,7,5,9,7,27,18,9,18,22,17.714285714285715,21.142857142857142
22,1950-01-23,6.031,7,6,4,3,6,12,4,6,4,4,7,15.714285714285714,17.714285714285715
23,1950-01-24,42.157,67,80,11,27,15,12,15,12,7,6,4,6.142857142857143,15.714285714285714
24,1950-01-25,24.126,22,9,18,22,32,39,27,27,67,80,11,10.142857142857142,6.142857142857143
25,1950-01-26,12.073,12,12,15,15,7,7,18,7,22,9,18,40.42857142857143,10.142857142857142
26,1950-01-27,15.084,22,15,15,15,12,5,18,15,12,12,15,12.571428571428571,40.42857142857143
27,1950-01-28,12.073,4,7,18,9,12,9,12,22,22,15,15,12.714285714285714,12.571428571428571
28,1950-01-29,6.021,6,6,5,3,3,5,7,9,4,7,18,15.285714285714286,12.714285714285714
29,1950-01-30,17.094,12,27,15,4,12,32,18,15,6,6,5,7.571428571428571,15.285714285714286
30,1950-01-31,5.021,12,6,5,3,3,6,4,4,12,27,15,13.428571428571429,7.571428571428571
31,1950-02-01,7.042,4,7,5,6,7,9,15,6,12,6,5,10.142857142857142,13.428571428571429
32,1950-02-02,27.126,7,18,32,39,39,67,6,5,4,7,5,8.571428571428571,10.142857142857142
33,1950-02-03,21.115,27,27,15,22,39,27,6,5,7,18,32,19.0,8.571428571428571
34,1950-02-04,18.105,22,32,32,18,12,12,6,9,27,27,15,19.142857142857142,19.0
35,1950-02-05,9.052,4,9,12,4,3,6,27,7,22,32,32,15.428571428571429,19.142857142857142
36,1950-02-06,9.052,6,7,15,15,9,12,9,0,4,9,12,18.428571428571427,15.428571428571429
37,1950-02-07,14.084,27,15,9,15,9,6,27,5,6,7,15,7.857142857142857,18.428571428571427
38,1950-02-08,12.073,15,12,18,12,9,9,18,7,27,15,9,10.714285714285714,7.857142857142857
39,1950-02-09,12.073,15,18,12,5,7,9,9,22,15,12,18,13.428571428571429,10.714285714285714
40,1950-02-10,3.01,4,3,4,4,3,0,3,6,15,18,12,13.142857142857142,13.428571428571429
41,1950-02-11,5.021,7,2,2,7,7,5,6,3,4,3,4,8.142857142857142,13.142857142857142
42,1950-02-12,6.031,3,7,9,5,5,5,3,12,7,2,2,4.571428571428571,8.142857142857142
43,1950-02-13,4.01,2,6,5,3,4,6,4,3,3,7,9,5.142857142857143,4.571428571428571
44,1950-02-14,6.031,5,9,5,3,3,3,12,6,2,6,5,5.142857142857143,5.142857142857143
45,1950-02-15,8.042,6,9,5,6,12,7,6,9,5,9,5,5.285714285714286,5.142857142857143
46,1950-02-16,4.021,5,3,3,5,7,4,3,6,6,9,5,7.571428571428571,5.285714285714286
47,1950-02-17,4.01,2,2,2,5,4,5,5,3,5,3,3,5.714285714285714,7.571428571428571
48,1950-02-18,4.01,7,6,6,3,6,2,0,2,2,2,2,4.0,5.714285714285714
49,1950-02-19,6.031,12,4,4,4,4,6,7,5,7,6,6,2.2857142857142856,4.0
50,1950-02-20,79.187,36,0,48,15,9,6,12,9,12,4,4,5.857142857142857,2.2857142857142856
51,1950-02-21,79.187,39,32,39,56,39,94,79,54,36,0,48,8.0,5.857142857142857
52,1950-02-22,26.126,27,39,27,15,18,27,27,32,39,32,39,50.0,8.0
53,1950-02-23,49.167,94,80,39,80,67,7,7,15,27,39,27,30.571428571428573,50.0
54,1950-02-24,46.157,27,27,5,6,22,56,32,94,94,80,39,27.0,30.571428571428573
55,1950-02-25,17.094,5,5,5,18,22,22,22,39,27,27,5,59.57142857142857,27.0
56,1950-02-26,3.0,2,3,2,2,3,3,3,4,5,5,5,23.428571428571427,59.57142857142857
57,1950-02-27,5.021,7,5,3,12,5,3,2,0,2,3,2,4.0,23.428571428571427
58,1950-02-28,12.073,7,7,9,12,22,27,6,5,7,5,3,2.4285714285714284,4.0
59,1950-03-01,10.063,4,4,4,7,18,12,12,22,7,7,9,10.714285714285714,2.4285714285714284
60,1950-03-02,9.052,3,3,9,6,12,15,15,6,4,4,4,12.428571428571429,10.714285714285714
61,1950-03-03,7.042,4,4,12,9,6,7,5,9,3,3,9,8.571428571428571,12.428571428571429
62,1950-03-04,6.031,5,6,6,12,7,5,4,2,4,4,12,6.0,8.571428571428571
63,1950-03-05,6.031,6,4,4,7,12,9,5,3,5,6,6,5.428571428571429,6.0
64,1950-03-06,15.084,22,15,15,7,9,9,22,18,6,4,4,6.571428571428571,5.428571428571429
65,1950-03-07,22.115,6,6,9,22,27,48,32,27,22,15,15,10.285714285714286,6.571428571428571
66,1950-03-08,5.021,7,4,5,5,4,6,3,9,6,6,9,26.571428571428573,10.285714285714286
67,1950-03-09,7.042,2,3,7,9,6,7,12,12,7,4,5,6.142857142857143,26.571428571428573
68,1950-03-10,5.021,2,2,4,3,9,5,5,7,2,3,7,7.571428571428571,6.142857142857143
69,1950-03-11,3.01,7,5,3,5,3,2,0,2,2,2,4,5.428571428571429,7.571428571428571
70,1950-03-12,5.021,3,4,9,7,6,3,5,5,7,5,3,2.142857142857143,5.428571428571429
71,1950-03-13,4.021,2,12,7,5,4,3,3,0,3,4,9,4.857142857142857,2.142857142857143
72,1950-03-14,11.063,4,27,12,9,15,12,6,4,2,12,7,3.7142857142857144,4.857142857142857
73,1950-03-15,21.115,3,6,6,12,7,18,67,48,4,27,12,8.285714285714286,3.7142857142857144
74,1950-03-16,8.042,3,4,7,5,6,15,18,5,3,6,6,26.142857142857142,8.285714285714286
75,1950-03-17,6.031,9,3,2,6,12,9,5,5,3,4,7,8.428571428571429,26.142857142857142
76,1950-03-18,5.021,3,5,3,2,5,12,5,6,9,3,2,6.428571428571429,8.428571428571429
77,1950-03-19,84.187,12,48,54,54,54,11,27,12,3,5,3,6.0,6.428571428571429
78,1950-03-20,9.052,7,22,15,4,2,6,6,9,12,48,54,16.428571428571427,6.0
79,1950-03-21,27.126,15,32,48,32,48,12,22,9,7,22,15,19.571428571428573,16.428571428571427
80,1950-03-22,23.115,22,18,9,12,22,27,48,27,15,32,48,19.285714285714285,19.571428571428573
81,1950-03-23,6.031,7,2,5,7,6,5,6,9,22,18,9,31.285714285714285,19.285714285714285
82,1950-03-24,24.126,7,7,9,15,12,48,39,56,7,2,5,10.714285714285714,31.285714285714285
83,1950-03-25,12.073,5,7,4,3,4,22,39,12,7,7,9,24.142857142857142,10.714285714285714
84,1950-03-26,8.042,22,6,5,7,12,3,4,7,5,7,4,14.285714285714286,24.142857142857142
85,1950-03-27,39.146,48,48,39,18,39,22,48,48,22,6,5,6.0,14.285714285714286
86,1950-03-28,11.063,7,2,4,12,27,12,12,9,48,48,39,27.142857142857142,6.0
87,1950-03-29,14.084,5,7,12,15,22,32,12,6,7,2,4,27.857142857142858,27.142857142857142
88,1950-03-30,8.042,2,3,12,7,9,9,9,9,5,7,12,12.142857142857142,27.857142857142858
89,1950-03-31,20.105,32,12,39,32,18,22,4,0,2,3,12,8.571428571428571,12.142857142857142
90,1950-04-01,40.157,48,56,18,39,18,39,67,39,32,12,39,8.714285714285714,8.571428571428571
91,1950-04-02,35.146,56,32,32,15,27,56,32,32,48,56,18,35.142857142857146,8.714285714285714
92,1950-04-03,31.136,56,56,22,18,32,15,18,32,56,32,32,38.42857142857143,35.142857142857146
93,1950-04-04,31.136,15,27,39,22,32,48,48,18,56,56,22,31.0,38.42857142857143
94,1950-04-05,53.167,67,11,56,39,39,32,48,32,15,27,39,40.0,31.0
95,1950-04-06,30.136,39,39,15,18,22,39,32,32,67,11,56,33.142857142857146,40.0
96,1950-04-07,18.105,7,15,12,22,18,15,27,27,39,39,15,37.0,33.142857142857146
97,1950-04-08,8.042,3,5,7,9,6,12,6,15,7,15,12,25.714285714285715,37.0
98,1950-04-09,9.052,4,5,18,18,12,9,5,3,3,5,7,10.428571428571429,25.714285714285715
99,1950-04-10,9.052,7,6,6,7,4,5,27,12,4,5,18,6.285714285714286,10.428571428571429
100,1950-04-11,7.042,9,12,5,5,5,5,12,5,7,6,6,10.714285714285714,6.285714285714286
101,1950-04-12,20.105,9,5,7,18,32,48,27,12,9,12,5,6.571428571428571,10.714285714285714
102,1950-04-13,11.063,3,3,5,9,9,7,18,32,9,5,7,20.714285714285715,6.571428571428571
103,1950-04-14,5.021,9,5,3,6,5,7,5,3,3,3,5,12.428571428571429,20.714285714285715
104,1950-04-15,19.105,12,5,9,32,18,48,22,6,9,5,3,4.428571428571429,12.428571428571429
105,1950-04-16,10.052,22,12,12,9,6,9,3,5,12,5,9,15.857142857142858,4.428571428571429
106,1950-04-17,11.063,15,15,9,9,6,6,9,18,22,12,12,7.0,15.857142857142858
107,1950-04-18,15.094,15,22,15,12,12,15,18,12,15,15,9,12.142857142857142,7.0
108,1950-04-19,24.126,18,32,32,22,7,39,27,18,15,22,15,13.714285714285714,12.142857142857142
109,1950-04-20,24.126,27,32,5,3,6,27,67,27,18,32,32,20.428571428571427,13.714285714285714
110,1950-04-21,4.01,2,2,5,3,5,4,4,6,27,32,5,29.857142857142858,20.428571428571427
111,1950-04-22,5.021,4,3,5,7,15,3,2,2,2,2,5,11.857142857142858,29.857142857142858
112,1950-04-23,17.094,22,12,15,22,27,12,22,7,4,3,5,4.428571428571429,11.857142857142858
113,1950-04-24,33.136,22,12,32,15,22,56,67,39,22,12,15,11.428571428571429,4.428571428571429
114,1950-04-25,9.052,3,4,5,5,9,18,22,7,22,12,32,33.285714285714285,11.428571428571429
115,1950-04-26,4.021,2,2,3,4,5,6,7,6,3,4,5,17.428571428571427,33.285714285714285
116,1950-04-27,5.021,9,15,2,4,3,2,2,2,2,2,3,5.142857142857143,17.428571428571427
117,1950-04-28,13.073,32,15,15,12,9,12,5,4,9,15,2,2.2857142857142856,5.142857142857143
118,1950-04-29,17.094,12,18,27,22,18,4,7,27,32,15,15,8.0,2.2857142857142856
119,1950-04-30,33.136,18,32,48,32,22,32,56,27,12,18,27,16.857142857142858,8.0
120,1950-05-01,6.031,7,12,6,5,6,5,4,7,18,32,48,27.714285714285715,16.857142857142858
121,1950-05-02,21.115,67,39,22,12,7,5,6,9,7,12,6,17.142857142857142,27.714285714285715
122,1950-05-03,43.157,48,67,18,18,27,32,56,80,67,39,22,7.428571428571429,17.142857142857142
123,1950-05-04,23.115,56,32,27,6,12,12,15,22,48,67,18,46.142857142857146,7.428571428571429
124,1950-05-05,22.115,22,15,15,15,27,15,15,56,56,32,27,27.714285714285715,46.142857142857146
125,1950-05-06,10.063,18,12,12,12,7,7,7,7,22,15,15,32.57142857142857,27.714285714285715
126,1950-05-07,11.063,9,4,9,9,5,15,4,32,18,12,12,11.428571428571429,32.57142857142857
127,1950-05-08,5.021,6,3,3,5,4,7,6,7,9,4,9,14.0,11.428571428571429
128,1950-05-09,2.0,4,3,3,2,2,0,3,3,6,3,3,6.571428571428571,14.0
129,1950-05-10,8.042,27,4,4,6,7,6,5,5,4,3,3,2.857142857142857,6.571428571428571
130,1950-05-11,14.084,9,12,18,22,12,15,7,18,27,4,4,4.714285714285714,2.857142857142857
131,1950-05-12,5.021,6,7,6,2,4,5,5,7,9,12,18,12.428571428571429,4.714285714285714
132,1950-05-13,16.094,18,18,12,12,15,18,27,12,6,7,6,8.571428571428571,12.428571428571429
133,1950-05-14,17.094,27,15,12,27,15,9,12,18,18,18,12,13.0,8.571428571428571
134,1950-05-15,23.115,22,56,18,9,12,22,18,27,27,15,12,14.571428571428571,13.0
135,1950-05-16,11.073,9,9,12,7,9,18,15,12,22,56,18,19.0,14.571428571428571
136,1950-05-17,6.031,6,5,6,9,5,6,3,9,9,9,12,21.428571428571427,19.0
137,1950-05-18,4.021,3,5,4,3,4,0,5,12,6,5,6,7.571428571428571,21.428571428571427
138,1950-05-19,4.021,3,9,15,3,2,2,2,0,3,5,4,5.428571428571429,7.571428571428571
