,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
0,1950-01-01,8.042,9,7,6,15,7,9,4,4,9,7,6,15,7,9,4,4,9,7,6,15,7,9,4,4,9,7,6
1,1950-01-02,7.042,9,7,6,15,7,9,4,4,9,7,6,15,7,9,4,4,9,7,6,15,18,9,5,2,3,3,3
2,1950-01-03,6.031,9,7,6,15,7,9,4,4,9,7,6,15,18,9,5,2,3,3,3,6,5,4,6,9,3,3,12
3,1950-01-04,10.052,9,7,6,15,18,9,5,2,3,3,3,6,5,4,6,9,3,3,12,7,4,12,7,7,12,15,12
4,1950-01-05,6.031,3,3,3,6,5,4,6,9,3,3,12,7,4,12,7,7,12,15,12,6,6,7,9,7,7,5,5
5,1950-01-06,11.063,3,3,12,7,4,12,7,7,12,15,12,6,6,7,9,7,7,5,5,7,22,5,7,12,15,12,9
6,1950-01-07,10.063,12,15,12,6,6,7,9,7,7,5,5,7,22,5,7,12,15,12,9,15,12,7,12,15,7,12,3
7,1950-01-08,3.01,7,5,5,7,22,5,7,12,15,12,9,15,12,7,12,15,7,12,3,5,4,2,2,2,2,3,4
8,1950-01-09,11.063,15,12,9,15,12,7,12,15,7,12,3,5,4,2,2,2,2,3,4,18,27,15,6,7,2,6,7
9,1950-01-10,10.052,7,12,3,5,4,2,2,2,2,3,4,18,27,15,6,7,2,6,7,18,12,7,6,4,5,6,18
10,1950-01-11,9.052,2,3,4,18,27,15,6,7,2,6,7,18,12,7,6,4,5,6,18,12,7,5,6,5,7,6,22
11,1950-01-12,6.031,2,6,7,18,12,7,6,4,5,6,18,12,7,5,6,5,7,6,22,9,7,3,4,4,7,12,6
12,1950-01-13,9.052,5,6,18,12,7,5,6,5,7,6,22,9,7,3,4,4,7,12,6,15,7,6,6,9,12,12,6
13,1950-01-14,20.105,7,6,22,9,7,3,4,4,7,12,6,15,7,6,6,9,12,12,6,12,32,18,22,18,15,32,15
14,1950-01-15,11.063,7,12,6,15,7,6,6,9,12,12,6,12,32,18,22,18,15,32,15,2,2,6,27,22,12,12,7
15,1950-01-16,11.063,12,12,6,12,32,18,22,18,15,32,15,2,2,6,27,22,12,12,7,4,18,22,9,5,6,7,15
16,1950-01-17,5.021,15,32,15,2,2,6,27,22,12,12,7,4,18,22,9,5,6,7,15,6,2,2,6,5,5,9,7
17,1950-01-18,6.031,12,12,7,4,18,22,9,5,6,7,15,6,2,2,6,5,5,9,7,6,18,5,4,4,0,3,9
18,1950-01-19,12.073,6,7,15,6,2,2,6,5,5,9,7,6,18,5,4,4,0,3,9,4,6,15,18,12,7,15,18
19,1950-01-20,22.115,5,9,7,6,18,5,4,4,0,3,9,4,6,15,18,12,7,15,18,27,27,32,22,27,27,9,5
20,1950-01-21,19.105,0,3,9,4,6,15,18,12,7,15,18,27,27,32,22,27,27,9,5,18,18,15,32,18,22,18,9
21,1950-01-22,10.063,7,15,18,27,27,32,22,27,27,9,5,18,18,15,32,18,22,18,9,18,27,7,9,5,7,4,4
22,1950-01-23,6.031,27,9,5,18,18,15,32,18,22,18,9,18,27,7,9,5,7,4,4,6,4,12,6,3,4,6,7
23,1950-01-24,42.157,22,18,9,18,27,7,9,5,7,4,4,6,4,12,6,3,4,6,7,12,15,12,15,27,11,80,67
24,1950-01-25,24.126,7,4,4,6,4,12,6,3,4,6,7,12,15,12,15,27,11,80,67,27,27,39,32,22,18,9,22
25,1950-01-26,12.073,4,6,7,12,15,12,15,27,11,80,67,27,27,39,32,22,18,9,22,7,18,7,7,15,15,12,12
26,1950-01-27,15.084,11,80,67,27,27,39,32,22,18,9,22,7,18,7,7,15,15,12,12,15,18,5,12,15,15,15,22
27,1950-01-28,12.073,18,9,22,7,18,7,7,15,15,12,12,15,18,5,12,15,15,15,22,22,12,9,12,9,18,7,4
28,1950-01-29,6.021,15,12,12,15,18,5,12,15,15,15,22,22,12,9,12,9,18,7,4,9,7,5,3,3,5,6,6
29,1950-01-30,17.094,15,15,22,22,12,9,12,9,18,7,4,9,7,5,3,3,5,6,6,15,18,32,12,4,15,27,12
30,1950-01-31,5.021,18,7,4,9,7,5,3,3,5,6,6,15,18,32,12,4,15,27,12,4,4,6,3,3,5,6,12
31,1950-02-01,7.042,5,6,6,15,18,32,12,4,15,27,12,4,4,6,3,3,5,6,12,6,15,9,7,6,5,7,4
32,1950-02-02,27.126,15,27,12,4,4,6,3,3,5,6,12,6,15,9,7,6,5,7,4,5,6,67,39,39,32,18,7
33,1950-02-03,21.115,5,6,12,6,15,9,7,6,5,7,4,5,6,67,39,39,32,18,7,5,6,27,39,22,15,27,27
34,1950-02-04,18.105,5,7,4,5,6,67,39,39,32,18,7,5,6,27,39,22,15,27,27,9,6,12,12,18,32,32,22
35,1950-02-05,9.052,32,18,7,5,6,27,39,22,15,27,27,9,6,12,12,18,32,32,22,7,27,6,3,4,12,9,4
36,1950-02-06,9.052,15,27,27,9,6,12,12,18,32,32,22,7,27,6,3,4,12,9,4,0,9,12,9,15,15,7,6
37,1950-02-07,14.084,32,32,22,7,27,6,3,4,12,9,4,0,9,12,9,15,15,7,6,5,27,6,9,15,9,15,27
38,1950-02-08,12.073,12,9,4,0,9,12,9,15,15,7,6,5,27,6,9,15,9,15,27,7,18,9,9,12,18,12,15
39,1950-02-09,12.073,15,7,6,5,27,6,9,15,9,15,27,7,18,9,9,12,18,12,15,22,9,9,7,5,12,18,15
40,1950-02-10,3.01,9,15,27,7,18,9,9,12,18,12,15,22,9,9,7,5,12,18,15,6,3,0,3,4,4,3,4
41,1950-02-11,5.021,18,12,15,22,9,9,7,5,12,18,15,6,3,0,3,4,4,3,4,3,6,5,7,7,2,2,7
42,1950-02-12,6.031,12,18,15,6,3,0,3,4,4,3,4,3,6,5,7,7,2,2,7,12,3,5,5,5,9,7,3
43,1950-02-13,4.01,4,3,4,3,6,5,7,7,2,2,7,12,3,5,5,5,9,7,3,3,4,6,4,3,5,6,2
44,1950-02-14,6.031,2,2,7,12,3,5,5,5,9,7,3,3,4,6,4,3,5,6,2,6,12,3,3,3,5,9,5
45,1950-02-15,8.042,9,7,3,3,4,6,4,3,5,6,2,6,12,3,3,3,5,9,5,9,6,7,12,6,5,9,6
