,date,ap_daily,ap1,ap2,ap3,ap4,apavg1,apavg2
0,19801,24.126,9,48,48,32,24.714285714285715,24.714285714285715
1,19802,12.073,9,48,48,32,24.714285714285715,24.714285714285715
2,19803,18.105,32,48,48,32,24.714285714285715,24.714285714285715
3,19804,16.094,12,7,4,7,27.285714285714285,24.714285714285715
4,19805,12.073,15,22,18,12,12.285714285714286,27.285714285714285
5,19806,8.042,12,15,18,27,16.428571428571427,12.285714285714286
6,19807,5.021,12,15,15,12,14.0,16.428571428571427
7,19808,6.031,2,5,5,7,12.0,14.0
8,19809,3.01,12,12,9,5,3.7142857142857144,12.0
9,198010,3.01,5,3,4,2,9.0,3.7142857142857144
10,198011,11.063,2,2,2,3,3.2857142857142856,9.0
11,198012,4.021,3,5,3,4,2.0,3.2857142857142856
12,198013,23.115,3,12,15,12,6.857142857142857,2.0
13,198014,9.052,0,4,4,4,8.142857142857142,6.857142857142857
14,198015,6.031,22,22,39,27,10.571428571428571,8.142857142857142
15,198016,9.052,3,6,5,7,19.857142857142858,10.571428571428571
16,198017,13.073,32,5,9,9,4.714285714285714,19.857142857142858
17,198018,4.01,4,2,2,2,11.857142857142858,4.714285714285714
18,198019,4.01,5,5,7,15,9.142857142857142,11.857142857142858
19,198020,6.031,6,6,5,2,6.0,9.142857142857142
20,198021,6.021,12,4,6,6,3.5714285714285716,6.0
21,198022,5.021,12,9,7,3,6.142857142857143,3.5714285714285716
22,198023,5.021,2,6,3,4,6.142857142857143,6.142857142857143
23,198024,5.021,6,6,15,6,3.4285714285714284,6.142857142857143
24,198025,7.031,2,2,4,3,7.142857142857143,3.4285714285714284
25,198026,6.031,2,4,9,9,2.857142857142857,7.142857142857143
26,198027,24.126,5,12,12,7,5.142857142857143,2.857142857142857
27,198028,27.126,9,9,7,3,7.571428571428571,5.142857142857143
28,198029,26.126,15,48,39,32,9.142857142857142,7.571428571428571
29,198030,10.052,56,32,56,48,24.857142857142858,9.142857142857142
30,198031,5.021,18,22,22,32,34.57142857142857,24.857142857142858
31,198032,10.063,6,6,5,7,18.142857142857142,34.57142857142857
32,198033,9.052,7,9,6,4,5.0,18.142857142857142
33,198034,3.01,9,18,22,6,6.571428571428571,5.0
34,198035,4.01,3,3,3,5,13.857142857142858,6.571428571428571
35,198036,3.01,3,4,2,3,3.5714285714285716,13.857142857142858
36,198037,33.136,0,2,2,2,4.571428571428571,3.5714285714285716
37,198038,12.073,0,3,4,4,2.0,4.571428571428571
38,198039,17.094,7,9,56,56,14.857142857142858,2.0
39,198040,11.073,18,18,18,7,22.714285714285715,14.857142857142858
40,198041,4.01,6,15,6,18,16.571428571428573,22.714285714285715
41,198042,4.01,4,7,15,12,12.0,16.571428571428573
42,198043,3.0,2,3,3,3,7.428571428571429,12.0
43,198044,2.0,3,2,4,4,4.142857142857143,7.428571428571429
44,198045,18.105,2,4,2,2,2.7142857142857144,4.142857142857143
45,198046,33.136,5,4,4,3,1.8571428571428572,2.7142857142857144
46,198047,40.146,9,6,12,27,12.571428571428571,1.8571428571428572
47,198048,6.021,80,32,67,15,11.428571428571429,12.571428571428571
48,198049,10.063,7,9,15,15,51.42857142857143,11.428571428571429
49,198050,10.052,15,5,5,5,8.714285714285714,51.42857142857143
50,198051,6.031,18,15,12,7,7.857142857142857,8.714285714285714
51,198052,4.021,7,4,2,2,14.142857142857142,7.857142857142857
52,198053,4.01,6,5,4,7,4.571428571428571,14.142857142857142
53,198054,9.052,4,6,4,4,4.714285714285714,4.571428571428571
54,198055,6.031,4,6,3,6,4.142857142857143,4.714285714285714
55,198056,13.084,9,9,18,18,4.714285714285714,4.142857142857143
56,198057,14.084,4,2,2,9,10.714285714285714,4.714285714285714
57,198058,14.084,22,32,27,15,4.714285714285714,10.714285714285714
58,198059,10.063,5,7,12,15,18.714285714285715,4.714285714285714
59,198060,7.031,12,15,15,12,12.857142857142858,18.714285714285715
60,198061,3.01,9,15,6,4,12.857142857142858,12.857142857142858
61,198062,3.0,5,5,5,7,7.428571428571429,12.857142857142858
62,198063,5.021,2,2,2,4,4.571428571428571,7.428571428571429
63,198064,5.021,3,2,4,3,2.4285714285714284,4.571428571428571
64,198065,7.031,3,5,6,12,2.7142857142857144,2.4285714285714284
65,198066,9.052,9,7,4,4,6.0,2.7142857142857144
66,198067,7.031,7,3,3,3,7.857142857142857,6.0
67,198068,6.031,9,6,7,9,6.714285714285714,7.857142857142857
68,198069,7.042,5,7,7,6,7.142857142857143,6.714285714285714
69,198070,4.01,7,5,5,6,7.142857142857143,7.142857142857143
70,198071,4.021,2,5,4,9,7.0,7.142857142857143
71,198072,1.0,7,3,3,4,5.0,7.0
72,198073,7.031,0,3,2,4,4.428571428571429,5.0
73,198074,5.021,4,2,5,3,1.2857142857142858,4.428571428571429
74,198075,2.0,7,9,7,3,5.428571428571429,1.2857142857142858
75,198076,4.021,0,2,3,6,6.0,5.428571428571429
76,198077,5.021,6,5,0,2,2.142857142857143,6.0
77,198078,4.01,5,6,3,4,3.7142857142857144,2.142857142857143
78,198079,10.052,5,3,4,4,5.285714285714286,3.7142857142857144
79,198080,4.021,2,3,3,4,3.7142857142857144,5.285714285714286
80,198081,18.105,4,4,6,15,6.857142857142857,3.7142857142857144
81,198082,16.094,9,5,6,5,6.0,6.857142857142857
82,198083,6.021,12,22,32,12,11.0,6.0
83,198084,4.01,9,9,6,15,19.428571428571427,11.0
84,198085,6.031,2,0,4,4,9.0,19.428571428571427
85,198086,30.136,3,4,2,6,3.5714285714285716,9.0
86,198087,7.031,39,22,7,6,3.0,3.5714285714285716
87,198088,7.031,15,22,15,9,27.857142857142858,3.0
88,198089,8.042,6,6,4,5,11.142857142857142,27.857142857142858
89,198090,11.063,9,9,4,4,6.714285714285714,11.142857142857142
90,198091,21.115,15,9,7,7,7.285714285714286,6.714285714285714
91,198092,4.01,22,15,3,4,12.0,7.285714285714286
92,198093,3.01,7,18,7,15,17.857142857142858,12.0
93,198094,7.042,3,0,4,5,7.857142857142857,17.857142857142858
94,198095,11.063,5,6,2,3,2.857142857142857,7.857142857142857
95,198096,7.031,2,3,7,9,6.142857142857143,2.857142857142857
96,198097,28.126,4,4,15,18,8.0,6.142857142857143
97,198098,18.105,2,3,7,18,7.857142857142857,8.0
98,198099,17.094,18,18,56,48,11.857142857142858,7.857142857142857
99,1980100,20.105,18,27,39,12,25.142857142857142,11.857142857142858
100,1980101,22.115,15,12,6,12,22.428571428571427,25.142857142857142
101,1980102,30.136,27,5,6,18,19.714285714285715,22.428571428571427
102,1980103,28.126,15,9,7,9,24.285714285714285,19.714285714285715
103,1980104,18.105,48,48,67,32,14.142857142857142,24.285714285714285
104,1980105,10.052,39,56,18,32,35.714285714285715,14.142857142857142
105,1980106,20.105,4,6,12,18,28.571428571428573,35.714285714285715
106,1980107,12.073,39,27,15,12,7.857142857142857,28.571428571428573
107,1980108,11.073,15,27,22,18,20.285714285714285,7.857142857142857
108,1980109,4.01,22,15,7,15,16.285714285714285,20.285714285714285
109,1980110,5.021,4,7,9,9,13.714285714285714,16.285714285714285
110,1980111,6.031,4,6,3,3,6.142857142857143,13.714285714285714
111,1980112,5.021,9,6,6,6,3.7142857142857144,6.142857142857143
112,1980113,9.052,6,6,7,4,5.857142857142857,3.7142857142857144
113,1980114,6.031,18,5,5,4,5.285714285714286,5.857142857142857
114,1980115,7.031,12,6,6,7,7.571428571428571,5.285714285714286
115,1980116,9.052,12,7,3,6,6.714285714285714,7.571428571428571
116,1980117,5.021,12,7,4,7,6.857142857142857,6.714285714285714
117,1980118,5.021,3,4,3,6,8.285714285714286,6.857142857142857
118,1980119,4.021,2,5,4,5,4.285714285714286,8.285714285714286
119,1980120,6.021,6,12,3,5,3.857142857142857,4.285714285714286
120,1980121,8.052,5,3,3,7,5.285714285714286,3.857142857142857
121,1980122,8.052,6,5,4,6,5.0,5.285714285714286
122,1980123,4.01,15,6,6,9,6.571428571428571,5.0
123,1980124,3.01,5,4,9,12,7.285714285714286,6.571428571428571
124,1980125,4.01,2,3,4,5,6.142857142857143,7.285714285714286
125,1980126,7.031,2,4,2,3,3.5714285714285716,6.142857142857143
126,1980127,12.073,2,2,3,6,3.5714285714285716,3.5714285714285716
127,1980128,9.052,12,12,7,9,4.0,3.5714285714285716
128,1980129,7.042,2,12,12,9,10.857142857142858,4.0
129,1980130,18.105,15,7,27,12,7.285714285714286,10.857142857142858
130,1980131,8.042,15,6,4,3,12.142857142857142,7.285714285714286
131,1980132,38.146,18,27,39,9,10.0,12.142857142857142
132,1980133,23.115,22,9,9,5,15.571428571428571,10.0
133,1980134,14.084,39,80,80,32,14.428571428571429,15.571428571428571
134,1980135,17.094,9,15,15,12,45.57142857142857,14.428571428571429
135,1980136,6.031,32,48,15,7,11.571428571428571,45.57142857142857
136,1980137,3.01,5,9,32,15,20.0,11.571428571428571
137,1980138,3.01,4,6,3,3,12.0,20.0
138,1980139,4.01,0,0,2,2,4.285714285714286,12.0
139,1980140,8.042,0,6,4,3,1.5714285714285714,4.285714285714286
140,1980141,5.021,2,3,5,7,3.4285714285714284,1.5714285714285714
141,1980142,4.01,7,6,9,12,4.714285714285714,3.4285714285714284
142,1980143,6.031,2,2,4,4,7.0,4.714285714285714
143,1980144,11.063,4,7,5,4,2.857142857142857,7.0
144,1980145,12.073,9,4,5,9,5.571428571428571,2.857142857142857
145,1980146,34.146,7,6,7,15,6.285714285714286,5.571428571428571
146,1980147,7.042,15,22,27,15,7.428571428571429,6.285714285714286
147,1980148,7.042,12,9,5,22,33.714285714285715,7.428571428571429
148,1980149,4.01,12,12,5,3,10.0,33.714285714285715
149,1980150,6.031,5,12,5,3,7.714285714285714,10.0
150,1980151,10.063,2,2,3,5,5.571428571428571,7.714285714285714
151,1980152,16.094,12,6,18,5,3.142857142857143,5.571428571428571
152,1980153,22.115,12,6,12,12,10.0,3.142857142857143
153,1980154,7.031,15,39,9,22,10.285714285714286,10.0
154,1980155,9.052,18,22,18,22,23.428571428571427,10.285714285714286
155,1980156,5.021,12,7,4,4,13.714285714285714,23.428571428571427
156,1980157,4.01,4,7,12,7,6.571428571428571,13.714285714285714
157,1980158,16.094,3,6,3,7,6.571428571428571,6.571428571428571
158,1980159,27.126,4,4,3,3,4.571428571428571,6.571428571428571
159,1980160,23.115,22,39,18,32,4.428571428571429,4.571428571428571
160,1980161,14.084,56,39,39,32,23.714285714285715,4.428571428571429
161,1980162,33.136,7,6,12,12,33.285714285714285,23.714285714285715
162,1980163,59.177,32,39,15,9,9.285714285714286,33.285714285714285
163,1980164,32.136,18,32,48,48,23.714285714285715,9.285714285714286
164,1980165,27.126,39,80,80,67,39.857142857142854,23.714285714285715
165,1980166,10.063,32,56,39,27,48.142857142857146,39.857142857142854
166,1980167,5.021,18,32,39,27,32.285714285714285,48.142857142857146
167,1980168,9.052,4,12,9,12,18.857142857142858,32.285714285714285
168,1980169,3.01,4,4,6,6,7.0,18.857142857142858
169,1980170,3.01,3,7,9,22,5.142857142857143,7.0
170,1980171,8.042,2,4,2,2,7.285714285714286,5.142857142857143
171,1980172,6.031,2,5,3,4,2.7142857142857144,7.285714285714286
172,1980173,6.031,3,7,22,12,4.285714285714286,2.7142857142857144
173,1980174,6.031,5,4,7,9,8.428571428571429,4.285714285714286
174,1980175,6.031,7,5,5,12,5.857142857142857,8.428571428571429
